"","contrast.ctr","ROI","estimate","SE.ctr","df.ctr","t.ratio","p (raw)","p (FDR BH)","contrast.eff","effect.size","SE.eff","df.eff","lower.CL","upper.CL"
"1","V3 - V2","L_Ant",0.14032878191941,0.0585557187115884,125686.320521001,2.3965000346181,0.0166,0.0213,"(V3 - V2)",0.0352259551127084,0.0146990858426103,125686.320521001,0.00641599881444918,0.0640359114109675
"2","V3 - V2","M_Ant",-0.439140841998623,0.120355769972824,125686.320521001,-3.64868956509339,0.0003,0.0004,"(V3 - V2)",-0.110235087747604,0.03021304521722,125686.320521001,-0.169452138499303,-0.0510180369959046
"3","V3 - V2","R_Ant",0.0156226029709624,0.0585987793782281,125686.320521001,0.266602873587616,0.7898,0.8297,"(V3 - V2)",0.00392165529744876,0.0147097283767259,125686.320521001,-0.024909160185256,0.0327524707801536
"4","V3 - V2","L_Cent",0.0126350350430659,0.0587312056739343,125686.320521001,0.215133248127298,0.8297,0.8297,"(V3 - V2)",0.00317170270550873,0.0147429698882222,125686.320521001,-0.0257242655699446,0.0320676709809621
"5","V3 - V2","M_Cent",-0.663994570935093,0.122720651578173,125686.320521001,-5.41061803694979,0,0,"(V3 - V2)",-0.166678871083441,0.030807687520447,125686.320521001,-0.227061410556854,-0.106296331610029
"6","V3 - V2","R_Cent",-0.263405901647074,0.0586542656449662,125686.320521001,-4.49082259833356,0,0,"(V3 - V2)",-0.0661213212352335,0.0147242485614639,125686.320521001,-0.0949805960311379,-0.0372620464393291
"7","V3 - V2","L_Post",-0.705959087664712,0.0586132103072625,125686.320521001,-12.0443682228619,0,0,"(V3 - V2)",-0.177212990758855,0.0147176170196237,125686.320521001,-0.206059267846422,-0.148366713671288
"8","V3 - V2","M_Post",-0.602460477970294,0.121140519976853,125686.320521001,-4.97323668484674,0,0,"(V3 - V2)",-0.151232309323046,0.0304107364287339,125686.320521001,-0.210836831460738,-0.0916277871853538
"9","V3 - V2","R_Post",-0.766668530793498,0.058672094033226,125686.320521001,-13.0670047392434,0,0,"(V3 - V2)",-0.192452545248826,0.0147331587546817,125686.320521001,-0.22132928387071,-0.163575806626942
